"Corporate & Industry Relations, Amrita Vishwa Vidyapeetham, Amritapuri Campus",Instructions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work Report for the Month of January 2026,1. Make it a practice to key in data everyday.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faculty Name :,2. The basic unit of entry is 0.5 hrs. There are no fixed hourly targets for any activity or week. The sheet needs to capture the actual data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designation:,3. Mention the hours under each day across the activity undertaken. Areas not applicable need to be marked 0. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical:,4. *The hours mentioned against each key responsibily is only indicative in nature. The ground realities may differ from week to week.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,Week 1,,,,,,,Remarks if any,Week 2,,,,,,Remarks if any,Week 3,,,,,,Remarks if any,Week 4,,,,,,Remarks if any,Week 5,,,,,,Remarks if any,
Date,1,2,3,4,5,6,,,8,9,10,11,12,13,,15,16,17,18,19,20,,22,23,24,25,26,27,,29,30,31,,,,,31
Key Responsibilities,Mon,Tue,Sat,Thu,Fri,Sat,,,Mon,"
Tue","
Wed",Thu,Fri,Sat,,Mon,"
Tue","
Wed",Thu,Fri,Sat,,Mon,"
Tue","
Wed",Thu,Fri,Sat,,Mon,"
Tue","
Wed",,,,,Sat
Class Engagement (approx 15 hours* ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIR Sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Dept Sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Class Engagements per Week,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,
Academic Activities (10 hours*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation for the Sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module Creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question Bank / Exercise/ Activity Preparation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exam Question Paper Setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exam Invigilation & Coordination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assignment Corrections / Resume Corrections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Plan & Lesson Plan preparation / CO PO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Mentoring / Counselling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Academic Activities per Week,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,
Self Development and research (5 hours*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work (Academic & non academic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workshops /Online courses/ Training programs attended / Self study ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Self Development and Research per Week,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,
CIR administrative tasks (5 hours*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attendance Entry / Shortage List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Entry / Grade Finalisation / Results Publish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Committee and Class Committee Meetings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical & Department Meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Coordination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CIR Administrative Tasks per Week,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,
Additional roles (5 hours*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSR Coordination & Mentoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR mock interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tech Mock Interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIR Outreach activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NAAC, NBA, UGC, IQAC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timetable work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ample Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Specific Training /Company Specific Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newsletter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT/GRE/GATE Coordination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's my North?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facilitating Alumni Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Induction Programs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vidyut/Competition and Contests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Additional Activities per Week,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,
Others (mention if any),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Other Activities per Week,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,
Total work hours in a day,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0
Total work hours in a week,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,
Total work hours in a month,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
